	Unnamed: 0	matched_Node1_textlabel	matched_Node2_textlabel	hmdb_id_node_1	hmdb_id_node_2	substrate_name	product_name
227	12	Phosphate	Phosphate	HMDB0001429	HMDB0001429	phosphate	phosphate
228	13	Phosphate	Phosphate	HMDB0001429	HMDB0001429	phosphate	phosphate
229	9	Pyruvate	Lactate	HMDB0000243	HMDB0000190	pyruvate	lactate
230	38	Lactate	Lactate	HMDB0000190	HMDB0000190	lactate	lactate
231	12	Phosphate	Phosphate	HMDB0001429	HMDB0001429	phosphate	phosphate
232	13	Phosphate	Phosphate	HMDB0001429	HMDB0001429	phosphate	phosphate
233	42	Phosphate	Phosphate	HMDB0001429	HMDB0001429	phosphate	phosphate
234	43	Phosphate	Phosphate	HMDB0001429	HMDB0001429	phosphate	phosphate
235	478	Pi	ADP	HMDB0001429	HMDB0001341	phosphate	adenosine 5'-diphosphate (adp)
236	480	ADP	Pi	HMDB0001341	HMDB0001429	adenosine 5'-diphosphate (adp)	phosphate
237	828	Pi	ADP	HMDB0001429	HMDB0001341	phosphate	adenosine 5'-diphosphate (adp)
238	829	ADP	Pi	HMDB0001341	HMDB0001429	adenosine 5'-diphosphate (adp)	phosphate
239	1	PYR	PYR	HMDB0000243	HMDB0000243	pyruvate	pyruvate
240	2	ADP	PYR	HMDB0001341	HMDB0000243	adenosine 5'-diphosphate (adp)	pyruvate
241	3	PYR	LAC	HMDB0000243	HMDB0000190	pyruvate	lactate
242	6	LACe	LAC	HMDB0000190	HMDB0000190	lactate	lactate
243	49	LAC	LACe	HMDB0000190	HMDB0000190	lactate	lactate
244	118	LAC	PYR	HMDB0000190	HMDB0000243	lactate	pyruvate
245	121	GLUe	GLU	HMDB0000122	HMDB0000122	glucose	glucose
246	125	GLU	GLUe	HMDB0000122	HMDB0000122	glucose	glucose
247	18	"Retinol
Vitamin A"	"Retinol
Vitamin A"	HMDB0000305	HMDB0000305	retinol (vitamin a)	retinol (vitamin a)
248	25	UCA	Histidine	HMDB0000301	HMDB0000177	trans-urocanate	histidine
249	11	Phenylalanine	Tyrosine	HMDB0000159	HMDB0000158	phenylalanine	tyrosine
250	16	Oxobutyrate	Cystathionine	HMDB0000005	HMDB0000099	alpha-ketobutyrate	cystathionine
251	17	Serine	Cystathionine	HMDB0000187	HMDB0000099	serine	cystathionine
252	41	Threonine	Oxobutyrate	HMDB0000167	HMDB0000005	threonine	alpha-ketobutyrate
253	42	Cystathionine	Oxobutyrate	HMDB0000099	HMDB0000005	cystathionine	alpha-ketobutyrate
254	58	Serine	Pyruvate	HMDB0000187	HMDB0000243	serine	pyruvate
255	59	Lactate	Pyruvate	HMDB0000190	HMDB0000243	lactate	pyruvate
256	60	Alanine	Pyruvate	HMDB0000161	HMDB0000243	alanine	pyruvate
257	61	Cysteine	Pyruvate	HMDB0000574	HMDB0000243	cysteine	pyruvate
258	86	Pyruvate	Lactate	HMDB0000243	HMDB0000190	pyruvate	lactate
259	88	Pyruvate	Cysteine	HMDB0000243	HMDB0000574	pyruvate	cysteine
260	90	Serine	Cysteine	HMDB0000187	HMDB0000574	serine	cysteine
261	91	Pyruvate	Alanine	HMDB0000243	HMDB0000161	pyruvate	alanine
262	100	Tyrosine	Thyroxine	HMDB0000158	HMDB0000248	tyrosine	thyroxine
263	116	Serine	Glycine	HMDB0000187	HMDB0000123	serine	glycine
264	139	Glycine	Serine	HMDB0000123	HMDB0000187	glycine	serine
265	169	Glutamate	Glutamine	HMDB0000148	HMDB0000641	glutamate	glutamine
266	177	Glutamate	Histidine	HMDB0000148	HMDB0000177	glutamate	histidine
267	192	Glutamine	Glutamate	HMDB0000641	HMDB0000148	glutamine	glutamate
268	193	Glutamine	Glutamate	HMDB0000641	HMDB0000148	glutamine	glutamate
269	196	Histidine	Glutamate	HMDB0000177	HMDB0000148	histidine	glutamate
270	234	Aspartate	Asparagine	HMDB0000191	HMDB0000168	aspartate	asparagine
271	236	Aspartate	Citrulline	HMDB0000191	HMDB0000904	aspartate	citrulline
272	240	Asparagine	Aspartate	HMDB0000168	HMDB0000191	asparagine	aspartate
273	262	Arginine	Ornithine	HMDB0000517	HMDB0000214	arginine	ornithine
274	264	Citrulline	Ornithine	HMDB0000904	HMDB0000214	citrulline	ornithine
275	408	Phosphate	Phosphate	HMDB0001429	HMDB0001429	phosphate	phosphate
276	409	Phosphate	Phosphate	HMDB0001429	HMDB0001429	phosphate	phosphate
277	410	Phosphate	Phosphate	HMDB0001429	HMDB0001429	phosphate	phosphate
278	411	Phosphate	Phosphate	HMDB0001429	HMDB0001429	phosphate	phosphate
279	2	Sphinganine	Sa 1-phosphate	HMDB0000269	HMDB0001383	sphinganine	sphinganine-1-phosphate
280	10	Sphingosine	Ceramides	HMDB0000252	HMDB0004949	sphingosine	n-palmitoyl-sphingosine (d18:1/16:0)
281	13	Sphingomyelin	Ceramides	HMDB0001348	HMDB0004949	stearoyl sphingomyelin (d18:1/18:0)	n-palmitoyl-sphingosine (d18:1/16:0)
282	15	Sa 1-phosphate	Sphinganine	HMDB0001383	HMDB0000269	sphinganine-1-phosphate	sphinganine
283	34	Sphingosine	Sphingosine 1-phosphate	HMDB0000252	HMDB0000277	sphingosine	sphingosine 1-phosphate
284	35	Sphingosine 1-phosphate	Sphingosine	HMDB0000277	HMDB0000252	sphingosine 1-phosphate	sphingosine
285	36	Ceramides	Sphingosine	HMDB0004949	HMDB0000252	n-palmitoyl-sphingosine (d18:1/16:0)	sphingosine
286	41	Ceramides	Sphingomyelin	HMDB0004949	HMDB0001348	n-palmitoyl-sphingosine (d18:1/16:0)	stearoyl sphingomyelin (d18:1/18:0)
287	44	Glycocholic acid	Taurocholic acid	HMDB0000138	HMDB0000036	glycohyocholate	taurocholate
288	45	Glycocholic acid	Taurocholic acid	HMDB0000138	HMDB0000036	glycohyocholate	taurocholate
289	46	Bilirubin	Taurocholic acid	HMDB0000054	HMDB0000036	bilirubin (z,z)	taurocholate
290	47	Bilirubin	Taurocholic acid	HMDB0000054	HMDB0000036	bilirubin (z,z)	taurocholate
291	48	Isoursodeoxycholic acid	Taurocholic acid	HMDB0000686	HMDB0000036	isoursodeoxycholate	taurocholate
292	49	Glycocholic acid	Bilirubin	HMDB0000138	HMDB0000054	glycohyocholate	bilirubin (z,z)
293	50	Taurocholic acid	Bilirubin	HMDB0000036	HMDB0000054	taurocholate	bilirubin (z,z)
294	51	Taurocholic acid	Bilirubin	HMDB0000036	HMDB0000054	taurocholate	bilirubin (z,z)
295	52	Isoursodeoxycholic acid	Bilirubin	HMDB0000686	HMDB0000054	isoursodeoxycholate	bilirubin (z,z)
296	53	Isoursodeoxycholic acid	Bilirubin	HMDB0000686	HMDB0000054	isoursodeoxycholate	bilirubin (z,z)
297	54	Glycocholic acid	Isoursodeoxycholic acid	HMDB0000138	HMDB0000686	glycohyocholate	isoursodeoxycholate
298	55	Taurocholic acid	Isoursodeoxycholic acid	HMDB0000036	HMDB0000686	taurocholate	isoursodeoxycholate
299	56	Bilirubin	Isoursodeoxycholic acid	HMDB0000054	HMDB0000686	bilirubin (z,z)	isoursodeoxycholate
300	57	Bilirubin	Isoursodeoxycholic acid	HMDB0000054	HMDB0000686	bilirubin (z,z)	isoursodeoxycholate
301	58	Taurocholic acid	Glycocholic acid	HMDB0000036	HMDB0000138	taurocholate	glycohyocholate
302	59	Taurocholic acid	Glycocholic acid	HMDB0000036	HMDB0000138	taurocholate	glycohyocholate
303	60	Bilirubin	Glycocholic acid	HMDB0000054	HMDB0000138	bilirubin (z,z)	glycohyocholate
304	61	Isoursodeoxycholic acid	Glycocholic acid	HMDB0000686	HMDB0000138	isoursodeoxycholate	glycohyocholate
305	36	1-(9Z-octadecenoyl)-sn-glycerol	Phosphate	HMDB0011567	HMDB0001429	1-oleoylglycerol (1-monoolein)	phosphate
